dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,term_iri,property_iri,entity_iri,unit_iri,constraint_iri,method_iri,required
spsr,pfma_year,catch_age_1,Catch Age 1,Catch Age 1 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age1YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,catch_age_2,Catch Age 2,Catch Age 2 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age2YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,catch_age_3,Catch Age 3,Catch Age 3 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age3YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,catch_age_4,Catch Age 4,Catch Age 4 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age4YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,catch_age_5,Catch Age 5,Catch Age 5 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age5YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,catch_age_6,Catch Age 6,Catch Age 6 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age6YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,catch_age_7,Catch Age 7,Catch Age 7 Count,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age7YearClass;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,ocean_catch,Ocean Catch,Ocean Catch,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#OceanPhase;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,ocean_age_1,Ocean Age 1,Catch at Ocean Age 1,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age1YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
spsr,pfma_year,ocean_age_2,Ocean Age 2,Catch at Ocean Age 2,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age2YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
